Algorithm,Sample,Result,Time,Seed
EVOLUTIONSTRATEGY,100,468.6394106091807,0.27065229415893555,16
DIFFERENTIALEVOLUTION,100,516.9418280668681,0.9416279792785645,16
BASE,100,482.10498152208896,0.12584543228149414,17
GENETICALGORITHM,100,544.7782341148165,1.3616459369659424,17
MEMETICALGORITHM,100,553.3834971323198,26.656880378723145,17
MEMETICALGORITHMHYBRIDLOCALSEARCH,100,514.3017758048204,47.45918846130371,17
EVOLUTIONSTRATEGY,100,482.6731507334269,0.25913071632385254,17
DIFFERENTIALEVOLUTION,100,516.6745573184302,1.1748743057250977,17
BASE,100,492.89028471451695,0.1425175666809082,18
GENETICALGORITHM,100,548.641266974701,1.407616138458252,18
MEMETICALGORITHM,100,554.2945015039472,27.230064392089844,18
MEMETICALGORITHMHYBRIDLOCALSEARCH,100,511.9344856317791,44.44401550292969,18
EVOLUTIONSTRATEGY,100,473.2633555349491,0.339061975479126,18
DIFFERENTIALEVOLUTION,100,521.6337446124737,0.9423120021820068,18
BASE,100,498.1864610110958,0.1534576416015625,19
GENETICALGORITHM,100,551.8202331225758,1.3850610256195068,19
MEMETICALGORITHM,100,554.5104800756043,25.888923168182373,19
MEMETICALGORITHMHYBRIDLOCALSEARCH,100,517.2734660276894,44.99104642868042,19
EVOLUTIONSTRATEGY,100,483.4081414670039,0.3127617835998535,19
DIFFERENTIALEVOLUTION,100,516.3619518468306,1.136016607284546,19
BASE,100,496.4333182078287,0.13898372650146484,20
GENETICALGORITHM,100,550.5192017342897,1.4271278381347656,20
MEMETICALGORITHM,100,555.318016252815,26.27312207221985,20
MEMETICALGORITHMHYBRIDLOCALSEARCH,100,519.9603076335892,47.20675230026245,20
EVOLUTIONSTRATEGY,100,488.510583758359,0.2838718891143799,20
DIFFERENTIALEVOLUTION,100,515.8738281601632,0.9833996295928955,20
BASE,100,491.6289231115028,0.128587007522583,21
GENETICALGORITHM,100,553.2148165575446,1.4847474098205566,21
MEMETICALGORITHM,100,555.1375366469226,27.175631046295166,21
MEMETICALGORITHMHYBRIDLOCALSEARCH,100,510.95708618997594,47.0972318649292,21
EVOLUTIONSTRATEGY,100,478.52030350581117,0.28561902046203613,21
DIFFERENTIALEVOLUTION,100,517.6898626939148,1.113914966583252,21
BASE,100,501.5827166792114,0.12181901931762695,22
GENETICALGORITHM,100,551.2076191396712,1.5457813739776611,22
MEMETICALGORITHM,100,555.0893746785501,25.96477723121643,22
MEMETICALGORITHMHYBRIDLOCALSEARCH,100,511.5074736511243,46.28207540512085,22
EVOLUTIONSTRATEGY,100,478.40544751821494,0.26957201957702637,22
DIFFERENTIALEVOLUTION,100,524.1739729644837,0.9902055263519287,22
BASE,100,493.5017765580412,0.21603751182556152,23
GENETICALGORITHM,100,549.2845133765309,1.4472289085388184,23
